item_id,item_name,item_price,item_cat,image_url,product_link,image_file
358,"TÄRNABYמנורת שולחן, ניתן לעמעם בז', 25 ס""מ",₪ 125,Lamp table,https://www.ikea.com/pimg/1188960_pe899632_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/taernaby-table-lamp-dimmable-beige-60508072/,358.jpg
359,"AKTERSPRINGמנורת שולחן, חלבי זכוכית/ציפוי פליז, 39 ס""מ",₪ 195,Lamp table,https://www.ikea.com/il/he/images/products/akterspring-table-lamp-opal-white-glass-brass-plated__1416207_pe975489_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/akterspring-table-lamp-opal-white-glass-brass-plated-00586548/,359.jpg
360,"SOLSKURמנורת שולחן LED, לבן/צבע פליז",₪ 145,Lamp table,https://www.ikea.com/pimg/0780250_pe759848_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/solskur-led-table-lamp-white-brass-colour-10424517/,360.jpg
361,"ISKÄRNAמנורת שולחן LED, צבעוני",₪ 145,Lamp table,https://www.ikea.com/il/he/images/products/iskaerna-led-table-lamp-multicolour__1010154_pe828872_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/iskaerna-led-table-lamp-multicolour-10492479/,361.jpg
362,"LAMPANמנורת שולחן, לבן, 29 ס""מ",₪ 35,Lamp table,https://www.ikea.com/pimg/0459937_pe606395_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/lampan-table-lamp-white-20046988/,362.jpg
363,"KUDDLAVAמנורת שולחן, דוגמת קפלים לבן, 28 ס""מ",₪ 59,Lamp table,https://www.ikea.com/il/he/images/products/kuddlava-table-lamp-pleated-white__1416209_pe975491_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/kuddlava-table-lamp-pleated-white-20492488/,363.jpg
364,"VINDKASTמנורת שולחן, לבן, 26 ס""מ",₪ 125,Lamp table,https://www.ikea.com/pimg/1152534_pe885404_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vindkast-table-lamp-white-20539198/,364.jpg
365,"RANARPמנורת עבודה, שחור",₪ 195,Lamp table,https://www.ikea.com/pimg/0610458_pe685517_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/ranarp-work-lamp-black-50331385/,365.jpg
366,"ÅRSTIDמנורת שולחן, ציפוי ניקל/לבן",₪ 125,Lamp table,https://www.ikea.com/pimg/0609332_pe684455_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/arstid-table-lamp-nickel-plated-white-70280634/,366.jpg
367,"BRUMMIGמנורת שולחן LED, דוגמת יער",₪ 95,Lamp table,https://www.ikea.com/pimg/1076724_pe856832_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/brummig-led-table-lamp-forest-patterned-30526119/,367.jpg
